Name,Country,Date,Rate,Certificate,Pred_Certificate,Genre,Nudity,Violence,Profanity,Alcohol,Frightening,Summarized_Text
zero dark thirty,United States,2012,7.4,R,R,"Drama, History, Thriller",Mild,Severe,Severe,Mild,Severe,"Dan points out that Ammar is withholding on the Saudi Group while Jessica gives updates on the latest leads. Dan kicks the chair out from under Ammar and has Ammar pulled up ripping down his pants to show that he has shit himself. Ammar starts screaming days of the week but not a location, so Dan forces him into the box and leaves him there.  Jessica points out that there are still other plots in motion that they can wring out of Ammar, including a planned attack in the LondonHeathrow area. He continues to talk about the members of the AQ cell but in vague terms until Dan makes it clear that he will put Ammar back in the box if Ammar doesnt start naming names. Allegedly, bin Laden uses a complex network of carriers to relay messages to his supporters. Jessica suggests that at the end of the day, everyone can be swayed with money an idea that Maya questions since it doesnt fit the motivations of a jihadist. The NSA head points out that theres a 40 chance its a head of alQaeda but it could easily be a drug dealer. She says shes done nothing else but that."
42,United States,2013,7.5,PG-13,R,"Biography, Drama, Sport",None,None,Moderate,Mild,Mild,"In 1947, Jackie Robinson qv becomes the first AfricanAmerican to play in Major League Baseball in the modern era when he was signed by the Brooklyn Dodgers and faces considerable racism in the process. , In 1946, Jackie Robinson qv is a Black League baseball player who never takes racism lying down. Branch Rickey is a Major League team executive with a bold idea. To that end, Rickey recruits Robinson to break the unspoken color line as the first modern African American Major League player. As both anticipate, this proves a major challenge for Robinson and his family as they endure unrelenting racist hostility on and off the field, from player and fan alike. As Jackie struggles against his nature to endure such abuse without complaint, he finds allies and hope where he least expects it. com, Branch Rickey of the Brooklyn dodgers wants to recruit Jackie Robinson qv for the Dodgers. Jackie, being an antiracism merch, accepts and soon realizes that overcoming the racist merches will be tough. People from his own team sign a petition to kick him off, but it doesnt work. "
12 years a slave,United States,2013,8.1,R,R,"Biography, Drama, History",Severe,Severe,Severe,Mild,Severe,"A genteel plantation owner Ford, expresses interest in Platt Solomon and Eliza. Some time later, Epps dispatches Solomon to a nearby plantation owned by Shaw. Solomon whispers to Patsey that she avoid Epps, which Epps interprets as Solomon making a sexual advance. Later that night, Epps stumbles to the slave quarters and rapes her. Just that night, Epps enters the quarters and walks Solomon outside. This story persuades Epps and Solomon is spared. Later, Epps is in a lather about Patsey. Epps points a gun to Solomons head and claims he will kill every slave he sees if he doesnt whip Patsey harder. As they continue work, Solomon takes a chance and asks Bass to write letters to his friends in Saratoga. A carriage pulls up to the Epps plantation, and an official looking man calls out for Platt Solomon."
2 guns,United States,2013,6.7,R,R,"Action, Comedy, Crime",Moderate,Severe,Severe,Mild,Moderate,"Against orders, Bobby remains undercover to assist Stig in robbing 3 million  in a bank vault in Tres Cruces, Texas  to prosecute Papi for money laundering. Bobby and Stig are surprised to find 43. Stig follows orders to betray Bobby and escape with the money, pulling his gun as Bobby is about to pull his. A hit squad sent by Quince attacks the apartment but Bobby and Stig escape. Bobby and Stig kidnap Papi, interrogating him in Debs garage. Bobby, Stig, and Deb escape, as does Papi, who calls his crew. Unable to find the money in time, Papi kills Deb. There, Stig is surrounded by Papis men, then both Quince and Earl intervene. Signaling Stig with a phrase from an earlier conversation, Stig shoots Earl, and Bobby shoots Quince. Bobby and Stig kill Papi and the duo escape, but first Bobby shoots Stig in the leg as payback for shooting him in the desert."
47 ronin,United States,2013,6.3,PG-13,PG-13,"Action, Drama, Fantasy",None,Moderate,Mild,None,Mild,see the original 1941 movie from Japan for more information
a good day to die hard,United States,2013,5.3,R,PG-13,"Action, Thriller",None,Moderate,Moderate,Mild,Mild,"When John arrives and approaches the courthouse that happens to currently hold Jack and Komarov on trial, an explosion orchestrated by Chagarin and his henchmen occurs in the courthouse, and Jack breaks free with Komarov. Seeing his son, John confronts him, but their dispute is cut short when the henchmen, led by Alik Radivoje Bukvi, chase them on the streets of Moscow, but John, Jack, and Komarov manage to escape. Meanwhile, Collins Cole Hauser, Jacks partner, demands the files location from Komarov, so that the CIA can bring Chagarin down, but Collins is soon shot by Chagarins men and dies, as John, Jack, and Komarov survive subsequent heavy gunfire and escape once again. His suspicions are proven correct when Alik and his men crash in and tie John and Jack up, while Komarov is taken as a hostage, and Irina confesses to snitching on them for the millions of dollars to be gained. However, Jack manages to break free of his ties, and the fatherson duo fights back, culminating in a gunfire exchange that results in John and Jacks escape. When they arrive, they find that Komarov, Irina, and Alik have already gotten there, but what they dont know is that on their way there, it was revealed that there was never a file in existence, and that the vault actually contains billions of dollars worth of weaponsgrade uranium. Irina, with another henchman, comes to her fathers aid, but before they can escape, Jack goes after Komarov, while John goes after Irina, who is escaping on a helicopter. In rage, Jack hurls Komarov off the rooftop, and Komarov falls into the spinning helicopters rotors and is killed. John jumps off the helicopter and reunites with Jack inside the building. Wanting to avenge her father, Irina rams the helicopter into the building, destroying the building and killing herself in the process, but John and Jack survive by leaping off the building into a large pool of water."
about time,United Kingdom,2013,7.8,R,PG-13,"Comedy, Drama, Fantasy",Mild,Mild,Moderate,Mild,Mild,"Before he says anything, she says he had better not ask any question about love, as Kit Kat said he may have, but thats exactly what he was going to ask. Tim goes back in time to try again, which turns out better, but he tries once more, being more assertive and leaving both himself and Mary very satisfied. After the play, Tim goes to say hi to Charlotte, and she introduces Tina as her girlfriend. She chats him up and then goes to have dinner with Tina, only to come back moments later to invite Tim to join her while she ditches Tina. When he goes to play with Posy, he is shocked to see that his daughter is now a boy. Tim time travels back to the day of the childs birth to meet his father. Tim realizes he must undo Kit Kats new timeline so that Posy is born. Mary eventually goes back to the very first dress she tried on. She responds I am absolutely uninterested in a life without your father. Tim and Marys third child is born, a girl named Jo."
after earth,United States,2013,4.8,PG-13,PG-13,"Action, Adventure, Sci-Fi",None,Moderate,None,None,Moderate,"Kitai trains to become a Ranger like Cypher, but his application is rejected due to his recklessness, and Cypher views him as a disappointment. Cypher instructs Kitai to locate the tail section of the ship, which broke off on entry to the atmosphere. Cypher gives Kitai his weapon, a wrist communicator, and six capsules of a fluid that enhances the oxygen intake so he can breathe in Earths lowoxygen atmosphere. Kitai leaves to find the tail section, with Cypher guiding him through the communicator. Kitai lies to Cypher, not informing him of the damaged capsules. The following day, Kitai reaches a mountaintop, and Cypher learns about the broken capsules. Kitai and the condor fight the saber cats, and Kitai escapes. Kitai reaches the tail section and retrieves the emergency beacon along with another communicator, weapon, and more oxygen capsules. The communicator only allows Cypher to see and hear Kitai, but not for Kitai to hear him. Kitai heads to a nearby volcano from which he can fire the beacon, and is injured when the Ursa attacks him."
american hustle,United States,2013,7.2,R,R,"Crime, Drama",Moderate,Mild,Severe,Moderate,Mild,"Only Richie is allowed to communicate with her. Stoddard says they shouldnt go after a politician Richie tells him to put 2 million into a Chase bank account under the sheikhs name so Carmine can verify that the sheikh is real. Irving tells him hes going to have to rent out a luxury suite to trick Carmine Polito into believing the sheikh is real, even though Richie thinks its unnecessary. Irving then gets mad when he finds out Sydney used her skills to get the Bureau to wire two millions to fool the sheikh and leaves Sydney alone with Richie. Irving tells Richie that Carmine agreed to go out to dinner with Irving and his wife but doesnt want to deal with Richie anymore. Irving points out that Richie is taking them to a dangerous place Sydney is more upset that Rosalyn gets to go to dinner with Irving instead of her. Rosalyn tells him that Irving isnt letting her come to the event that night when Irving takes the phone, Carmine tells him that his wife is the life of the party and to bring her. Out front, Irving and Carmine bond with Rosalyn and Dolly their bonding is interrupted by the arrival of Sydney and Richie and the Mexican sheikh. Irving and Sydney are left behind, terrified since they are now in danger. Stoddard replies, No, he died a different way many years later."
anchorman 2 the legend continues,United States,2013,6.3,PG-13,PG-13,Comedy,Moderate,Mild,Moderate,Mild,None,"Ron accepts the offer and tells Freddie hes got the perfect news team for the job. Brian informs Ron and Champ that Brick died. The gang meets GNN owner Kench Appleby Josh Lawson, who has a thick Australian accent that makes it hard for them to understand. Jack then proceeds to coolly do the news. Ron threatens to hit her if she were a man, and she challenges him to go ahead and do it. Chani asks Brick if hes ever kissed anybody, to which he says only people on TV and his Planet of the Apes toys. They go back to his place and finally do it, and this scene is intercut with random footage of Jackie Robinson, the KirkUhura kiss from Star Trek, and a clip of Diffrent Strokes. Ron starts taking out his frustrations on them, eventually yelling at Brick. He tries driving but then crashes the car. He is ambushed in the park by Jack and his team."
august osage county,United States,2013,7.2,R,R,"Comedy, Drama",Mild,Mild,Severe,Moderate,Mild,"A look at the lives of the strongwilled women of the Weston family, whose paths have diverged until a family crisis brings them back to the Oklahoma house they grew up in, and to the dysfunctional woman who raised them. Violets family gathers including middle daughter Ivy, youngest daughter Karen with her new fianc, eldest daughter Barbara with her separated husband and teenage daughter, and her sister Mattie Fae with her husband and son in tow. His wife Violet Meryl Streep qv, who is fighting mouth cancer and a growing dependency on pain pills, sees her entire clan return home for the services, including her sister Mattie Fae Aiken Margo Martindale and her husband Charles Chris Cooper and their son Little Charles Benedict Cumberbatch. Also arriving are Violets three daughters Barbara Julia Roberts and her husband Bill Ewan McGregor, Ivy Julianne Nicholson, and wild child Karen Juliette Lewis, who brings her fiance Steve Dermot Mulroney.  Beverlys intentions may have been telegraphed by he having just hired compassionate Johnna Monevata, a young Cheyenne woman, as a cook and livein caregiver much to Violets displeasure. The rift between husband and wife was only exacerbated by issues surrounding Violets mouth cancer, their relationship only one of the many dysfunctions between family members. Violet and Mattie Fae were emotionally and physically abused by their mother and her various boyfriends when they were children, which is a large part of the dysfunction with their respective children. Coloradobased Barbara, the responsible daughter, has come with her academic husband Bill Fordham and their fourteen year old daughter Jean. In the process, Jean resents her mother."
beautiful creatures,United States,2013,6.2,PG-13,PG-13,"Drama, Fantasy, Romance",Mild,Mild,Mild,None,Mild,"On a drive home, Ethan nearly runs over Lena, whose car has broken down. Ethan drops Lena off but later finds a locket and returns to the mansion to give it to her as a present. Matters are complicated by the arrival of two immensely powerful dark casters who aim to push Lena to the dark Ridley, Lenas provocative cousinchildhood friend, and Sarafine, Lenas mother, who has possessed Mrs.  Lincoln, the mother of Ethans friend Link. Sarafine foresees that Lena will become an even more powerful caster and intends for Lena to use her newfound power to purge the Earth of humans, leaving Casters to rule in their wake. Lena and Ethan use the locket to reexperience the whole flashback, which reveals their ancestors, caster Genevieve Duchannes and mortal Confederate soldier Ethan Carter Wate were in love. Ethan Carter was shot in battle and Genevieve revived him using a forbidden spell that caused her to go dark and curse all the Duchannes familys women. During the reenactment, Link and Ethan agree to kill eachother so they can ditch the reenactment. Lena lashes out in anger, sending lightning strikes through the crowd of reenactors until Ethan transforms into Macon, who had previously disguised himself as Ethan to become the needed sacrifice. Lena is then seen in the caster library, where it is revealed that she has claimed herself as a half darklight caster. He gets out of the car to call Lenas name."
before midnight,United States,2013,7.9,R,R,"Drama, Romance",Moderate,None,Moderate,Mild,None,"Nine years after the conclusion of Before Sunset, Jesse and Celine live in Paris as a couple, parents to twin girls conceived when they got together. Jesse is also struggling to maintain his relationship with his teenage son Hank, who lives in Chicago with Jesses now exwife and who, after spending the summer with Jesse and Celine on a Greek island, is being dropped off at the airport to fly home. Jesse has continued to find success as a novelist, while Celine is at a career crossroads, considering a job in government. When Jesse drops his son, Henry Hank off at the airport, he promises to visit him in the near future so he can see him perform at a school music recital. Henry is reluctant and tries to discourage his father from coming because it will upset his mother. Henry says he isnt worried about his mother getting upset about she  his father meeting facetoface, but is worried about how it will effect himself. Jesse is left feeling confused. Outside the terminal, Jesse meets up with Celine and the two get in their car and drive home. As the camera pulls back from the drivers seat, we see that Jesse and Celine have twin daughters."
begin again,United States,2013,7.4,R,R,"Comedy, Drama, Music",None,None,Moderate,Mild,None,"Dan Mulligan Mark Ruffalo is a formerly successful record label executive living in New York City who is estranged from his wife Miriam and struggling to keep up with the changing music industry. Dan and Gretta meet with Saul, Dans business partner and cofounder of their record label, but he does not see the same potential in Gretta and turns her away. Undeterred, Dan proposes that he and Gretta produce their own album together, to be recorded live during the summer at various public locations around New York City. During this time, Dan and Gretta bond both personally and professionally, and Gretta takes Dans teenage daughter Violet, a fledgling guitarist, under her wing and encourages her to play on the album. When the album is finished, Dan and Gretta meet again with Saul, who is very impressed with their collaboration. They leave without reaching an agreement, but Dan feels confident that Saul will eventually sign Gretta to the label. When Gretta sees Dave accepting an award on television, she criticizes him for selling out to the music industry and she expresses her grievances with him in a song which she records on his voice mail. A remorseful Dave, who is back in New York to promote his new album, returns her call and asks to see her. He believes that music is about sharing it with people, but Gretta tells him thats not what she intended for that song. Although Dan returns to work with Saul, he agrees to let Gretta release the album online and helps her to promote the release."
belle,United Kingdom,2013,7.3,PG,PG,"Biography, Drama, Romance",None,Mild,Mild,Mild,Mild,"After the death of Didos mother, Captain Lindsay takes Dido to England in 1765 and entrusts her to his uncle William Murray, 1st Earl of Mansfield, the Lord Chief Justice, and his wife, Elizabeth who live at Kenwood House, an estate in Hampstead outside London. Lord and Lady Mansfield raise Dido as a free gentlewoman, together with their niece Lady Elizabeth Murray, who came to live with them after her mother died and her father remarried. Arrangements are made for Elizabeth to have her coming out to society, but Lord and Lady Mansfield believe no gentleman will agree to marry Dido because of her mixedrace status. Lord Mansfield agrees to take a vicars son, John Davinier, into an apprenticeship for law. Didos aunts, Lady Mansfield and Lady Mary Murray, Lord Mansfields sister, seek to steer Dido into an engagement with Oliver Ashford, son of a scheming grand dame and younger brother to the bigoted James Ashford. At first James is interested in Elizabeth but stops courting her once he finds out she will have no inheritance. Lord Mansfield finds out about Didos visits to John and confronts both of them. During the confrontation, John professes his love for Dido. The ships officers claimed they ordered this action because they were out of potable water. Therefore, he agrees to resume Johns apprenticeship in law, so that he can become a gentleman."
captain phillips,United States,2013,7.8,PG-13,PG-13,"Adventure, Biography, Crime",None,Moderate,Mild,Mild,Severe,"Muse decides he will call Captain Phillips Irish from then on. Phillips tells Muse that there is 30,000 in the ships safe and he can have it if he and his men will leave. Muse demands to know whats going on. Along the way, Muse allows for a stop at the galley to get some water, as it will be hot in the engine room. Murphy avoids detection and after Phillips, Muse and Bilal have moved on, he uses his radio to call his crew in the engine room to warn them that the search party is on the way. Phillips removes the 30,000 from the ships safe, places it in a bag, and hands it over to the pirates. Elmi then releases the lifeboat and it plunges down to the ocean. Najee aims his rifle at Phillips and tries to kill him so he wont escape, but Muse orders him to pull back. Najee is upset that they are being bossed around so much and he wants Muse to do something to reassert control of the situation. The helo turns away and Muse and Phillips go back inside."
coherence,United States,2013,7.2,Not Rated,R,"Drama, Mystery, Sci-Fi",None,Mild,Moderate,Moderate,Moderate,"Everyone goes outside and sees one house up the street that still has power. Hugh and Amir go to the other house to ask to use their phone, and a few minutes later they come back with a box. Emily, Kevin, Mike, and Laurie decide to go to the other house to see whats happening. But Mike decides to blackmail the other houses Mike, to prevent them from getting the lecture notes. Its revealed that Hugh and Amir are from the house with red glow sticks. They take the box and go back to the other house, then the Hugh and Amir with blue glow sticks return. They realize that there are more than just two realities, and they switch from one house to another when they go outside and walk through a dark area. While outside, Emily has a sweet conversation with her boyfriend, before realizing shes talking to a Kevin from a different reality, then she goes back inside. When she asks other people, she finds that Lee and Beth are the only ones whose memory matches whats written on the notepad, because theyre the only ones who havent left the house since they wrote the numbers on the notepad. Hugh and Amir remember a third set of numbers, since they switched realities when they switched to the red glow stick house and again when they switched to the current house."
curse of chucky,United States,2013,5.6,R,R,"Adventure, Comedy, Fantasy",Mild,Severe,Moderate,Mild,Moderate,"Nica returns to the living room and finds Chucky sitting on the sofa next to a sleeping Ian. Nica uses the house elevator to take Chucky to Alice, but a blackout occurs and Chucky cuts her leg with a knife. The power returns and the elevator takes Nica to the second floor where Alice takes Chucky and goes to bed. Jill looks down and sees Chucky holding a knife. Barb finds Chucky sitting on stairs that lead to the attic. Thinking that Alice is in the attic, Barb picks up Chucky and goes up to look for her. A skeptical Ian wheels Nica to the garage, then goes back to the house to find Alice, instead finding Jills and Barbs dead bodies. Ian returns to the garage and sees Nica with the hatchet. Nica asks why Chucky is doing this. Alice looks for her grandmother, but finds Chucky instead."
dallas buyers club,United States,2013,8.0,R,R,"Biography, Drama",Severe,Moderate,Severe,Severe,Moderate, He sells the medicines on the streets. The queue of sick people is visible from the road. Not everybody can pay the 400 permonth membership fee anyway. Ron tells Rayon to stop shooting up or it will kill her. Both Ron and Eve are very affected by Rayons death. seven years after he was first diagnosed.
dark skies,United States,2013,6.3,PG-13,PG-13,"Horror, Sci-Fi, Thriller",Mild,Moderate,Mild,Mild,Severe,"As the Barrett familys peaceful suburban life is rocked by an escalating series of disturbing events, they come to learn that a terrifying and deadly force is after them, one which may have arrived from beyond the stars. , The Barrett familymother Lacy, father Daniel, older son Jesse, and younger son Sammyreside on a quiet suburban street in an unnamed American city. Daniel is currently unemployed, placing the burden of supporting the family on Lacy, who works as a real estate agent. Their two sons enjoy a happy relationship and communicate with each other from their beds via walktalkie. A number of strange occurrences befall the family. The house alarm is set off when it detects that all entry points were breached simultaneously. Sammy suffers a fit while playing soccer and Lacy is shocked when hundreds of birds suddenly crash into the house. One night, Lacy is awakened by a sound from Sammys room. Sammy is found walking away from the house but cannot remember leaving. Lacy, Daniel and Jesse each suffer catatonic episodes and regain consciousness with no memory of their experiences."
despicable me 2,United States,2013,7.3,PG,PG,"Animation, Adventure, Comedy",Mild,Mild,None,Mild,Mild,"The AntiVillain League AVL recruits former supervillain Gru, now a devoted father to Margo, Edith and Agnes, to find out which evil person stole the lab, which contained a powerful mutagen known as PX41 which can make indestructible and extremely aggressive monsters out of living organisms because Gru, being an ex villain knows how villains work but refuses. Gru learns that Dr.  Nefario, his friend and assistant, has decided to leave him for new employment, because he missed being evil. After the investigation, Gru is set up on a horrible dinner date with a woman named Shannon, who notices Grus wig and threatens to humiliate him. The next day, the AVL arrests Floyd Eaglesan who claims that he was framed because an almostempty mutagen jar was found in his shop. El Macho plans to send rockets full of mutated Minions to major cities and achieve world domination. On her flight to Australia, Lucy realizes she has feelings for Gru, so she jumps out of the plane and hangglides down to the party. Lucy is, however, already strapped to a TNTloaded shark rocket. The rocket flies towards the same lavaspewing volcano where El Macho had previously faked his death. One hundred and fortyseven dates later, Gru and Lucy are married and Margo, Edith and Agnes finally have a mother."
don jon,United States,2013,6.5,R,R,"Comedy, Drama, Romance",Severe,Mild,Severe,Moderate,None,"Although he has an active sex life with women he meets at nightclubs, he looks at pornography on the Internet habitually, preferring it to sex. During a typical night out with his two best friends, Jon sees Barbara Sugarman Scarlett Johansson, and although she finds him interesting he fails to pick her up for a onenight stand. The attraction is mutual, but Barbara insists on a traditional longterm courtship, which proceeds for over a month without sex. Eventually, they have sex, but as with other women, Jon is dissatisfied and gets up while Barbara sleeps to watch pornography in the other room. He denies that he watches pornography and claims it was a joke sent to him by a friend. Their relationship resumes, with Jon continuing to watch pornography, but doing so primarily outside his apartment, where Barbara is often around. One night she looks at the browser history on his computer, confronts him with proof that he has been continuing to compulsively watch pornography, and ends their relationship. She counsels him further about the need for sex to be a mutual experience, and with her, Jon finally has sex that doesnt leave him restless to watch pornography. Jon asks to meet with Barbara and apologizes for lying to her about the pornography. Jon takes Esther as his girlfriend."
elysium,United States,2013,6.6,R,R,"Action, Drama, Sci-Fi",Mild,Severe,Severe,Mild,Severe,"Max tells her its too dangerous, and he cant do it. Spider tells Max that theres a nofly order in effect and it cant be done. They start the 19 minute trip to Elysium. Delacourt lifts the nofly restriction on L. A.  Spider knows that Max is on a shuttle and bound for Elysium, as hed attached a tracking device to Max before hed taken off. When one of Krugers associates approaches Frey, Max tells the guy to back up. Max and Kruger fall, and the grenade rolls free. He survived only because his brain had not been damaged by the grenade explosion. Kruger then goes after Max with his sword. In a desperate fight on a high catwalk, Spider tackles Kruger before he can stab Max and Krugers sword goes flying several levels below. Max and Kruger engage in handtohand combat."
enders game,United States,2013,6.6,PG-13,PG,"Action, Adventure, Fantasy",None,Mild,None,None,None,"Graff reassigns Ender to Salamander Army, led by Commander Bonzo Madrid, a short, bitter, but intimidating squad leader. Another cadet, Petra Arkanian, takes Ender and trains him privately. In one match, Bonzo orders Ender to stay behind while the rest of the Salamander Army fights another team however, seeing Petra in trouble, Ender comes to her aid and helps the Salamander Army win. After the match, Bonzo is humiliated by the other students and threatens Ender if he embarrasses him again. Graff promotes Ender to his own squad, made from other students that have gained Enders trust. Bonzo accosts Ender in the bathroom after the match, but Ender fights back and Bonzo falls during the struggle, seriously injured. Graff takes Ender to humanitys forward base on a former Formic planet near their homeworld. Ender finds that his former squad members are also here to help him train in computerized simulations of large fleet combat Rackham puts special emphasis on the fleets Molecular Detachment MD Device that is capable of disintegrating matter. As the simulation starts, Ender finds his fleet over the Formic homeworld and vastly outnumbered. The simulation ends, and Ender believes the test is over, but the commanders restart the video screens, showing that the destruction of the Formic homeworld was real and Ender had been controlling the real fleet this time."
enemy,Canada,2013,6.9,R,R,"Drama, Mystery, Thriller",Moderate,None,Moderate,Mild,Moderate,"Adam goes to bed, and has rough sex with Mary again. Adam goes to the apartment where the actor lives, but he doesnt go inside. A few hours later Adam calls again and Anthony answers the phone. The next day, Adam phones Anthony again who agrees to meet with him at a local hotel. At another meeting, Anthony shows up at Adams apartment and actually accuses Adam of fucking his wife! Even though Adam denies it, Anthony demands they swap identities for one night, so that Anthony can have a fling with Mary. While Anthony is with Mary, Adam heads over to Anthonys apartment. At a hotel, Mary is seen having passionate sex with Anthony thinking its Adam. Meanwhile, Helen suspects that Anthony laying next to her is really Adam and not Anthony, but she doesnt care. When she doesnt answer, he goes to her room but Helen is not there."
enough said,United States,2013,7.0,PG-13,R,"Comedy, Drama, Romance",Mild,None,Moderate,Mild,Mild,"After the party, Albert asks Will for Evas number and though hesitant, due to the lack of physical attraction, Eva agrees to go on a dinner date with Albert, which goes well. Marianne contacts Eva for a massage, Eva takes an immediate liking to Marianne, and they become friends. A few days later, Eva goes to her massage appointment with Marianne and realizes that Albert is Mariannes exhusband after she tells her a story about how he eats guacamole  the same story Albert told her. Eva continues seeing Albert, keeping her friendship with Marianne a secret likewise, she does not tell Marianne she is seeing him. Eva encourages Marianne to complain about her exhusband Albert so she can identify potential problems in her relationship with him. To the encouragement of Eva, Sarah and Will invite her and Albert to a dinner party, which goes badly after Eva begins finding fault with Albert, which upsets him. At another appointment with Marianne, Eva is exposed when Albert arrives to drop Tess off at her mothers. He is angry that Eva kept her friendship with Marianne a secret, and breaks up with her. Eva and her exhusband take Ellen to the airport for her flight to college. A few months later, on Thanksgiving Day, Eva drives by Alberts home and stops in front of the house on her way to pick up Ellen from the airport."
escape plan,United States,2013,6.7,R,R,"Action, Thriller",None,Severe,Severe,Mild,Mild,"Rottmayer was taken by Mannheims enemies, and incarcerated in Hobbs secret prison. Ray and Rottmayer are sent back to general population and Rottmayer asks what information Ray was able to gather while in the box. Rottmayer asks to speak with Hobbs and is taken, by guards, to his office. They come to Rays box last, and Ray barely manages to make it back into his cell, take the bread from the camera, and close the access panel beneath him, before his door flies open and hes yanked out of the cell by the guards. They tell Javed to tell Hobbs that Ray is planning to escape, and that hell continue to give Hobbs information on the escape in exchange for the opportunity to do his daily prayers outside, in the open air. Lester tells Hobbs that he can keep Ray in the prison for the rest of his life. Ray, who still needs the escape to go to plan, lies to and offers to work with Hobbs, to get information on Mannheim from Rottmayer. The riot begins in cellblock A, and the understaffed guards are soon overwhelmed by the attacking inmates. Javed heroically takes out dozens of guards with the pistols, before being shot and killed by Hobbs men. One by one, lights and electrical systems turn off in the prison and the surface hatch opens for Rottmayer."
evil dead rise,Ireland,2013,6.5,R,R,Horror,Mild,Severe,Severe,Mild,Severe,"One day earlier, upset at learning she is pregnant, guitar technician Beth visits her sister Ellie, a tattoo artist and single mother to teenagers Danny and Bridget, and child Kassie, in their home at Monde Apartments, a condemned Los Angeles apartment complex. The buildings power fails, and an isolated Ellie is attacked and possessed by an unseen force. They find that the staircase has collapsed, the elevator is damaged, and they are unable to access the fire escape before Ellie revives and attacks the family, wounding Bridget. Beth and the children lock Ellie outside the apartment after she pursues and massacres the neighbors. Danny confesses to Beth about recovering the Naturom Demonto, and Ellie tricks Kassie into unlocking the door before attacking her. While Danny and Beth are distracted rescuing Kassie and locking Ellie out, Bridget becomes possessed via her wound. Bridget attacks Beth before turning on Danny and Kassie, who inadvertently impales her through the head with a broken broom handle. Realizing Beth is pregnant, Ellie attempts to rip the fetus out of her, but Beth and Kassie are able to incapacitate her with scissors. Danny and the bodies of the neighbors are possessed, leading Beth and Kassie to take shelter in the damaged elevator. Beth and Kassie escape the building together."
fast and furious 6,United States,2013,7.0,PG-13,PG-13,"Action, Adventure, Thriller",Mild,Moderate,Moderate,Mild,Mild,"Hobbs tracks down Dominic and persuades him to help take down Shaw after showing him a recent photo of the supposedly longdead Letty Ortiz Michelle Rodriguez, Dominics former girlfriend. The crew travels to London where one of Shaws henchmen leads them to Shaws hideout, but it is revealed to be a trap intended to distract the crew and police while Shaws crew performs a heist elsewhere. Shaw flees by car, detonating his hideout behind him and disabling most of the police, leaving Dominic, Brian, Tej, Han, Gisele, Hobbs and Riley to pursue him. Meanwhile, Shaws investigation into the opposing crew reveals Lettys relationship with Dominic, but she is revealed to be suffering from amnesia and is now a brainwashed associate working for Shaw. Dominics crew investigates a Shaw subordinate who reveals Shaws connection to Arturo Braga John Ortiz, a drug lord imprisoned by Brian in Fast and Furious 4. Dominics crew interferes, destroying the convoy while Shaw, accompanied by Letty, commandeers a tank and begins destroying cars along the highway. The crew is forced to release Shaw, and Riley finally revealed to be a doubleagent working for Shaw leaves with him Letty chooses to remain with Dom. Dominic, Letty, Brian, and Hobbs board the craft Brian rescues Mia and they escape using a car on board. Letty kills Riley and escapes with Hobbs to safety, but Dominic pursues Shaw and the computer chip. Shaw is thrown from the plane as it crashes into the ground Dom drives one of the remaining cars through the nose of the exploding plane and reunites with his crew, giving the chip to Hobbs to secure their amnesty."
filth,United Kingdom,2013,7.1,R,R,"Comedy, Crime, Drama",Severe,Moderate,Severe,Severe,Moderate,"Bruce Robertson James McAvoy is a Detective Sergeant in Edinburgh a scheming, manipulative, misanthropic man who spends his time indulging in drugs, alcohol, sexually abusive relationships, and the games his euphemism for the myriad foul plots he hatches directed at workmates. Robertson also delights in systematically bullying and taking advantage of his mild mannered friend Clifford Blades Eddie Marsan, a member of Robertsons masonic lodge whose wife he repeatedly prank calls and harasses as part of one of his elaborate games transgressions for which he ultimately frames Blades himself. Robertsons main goal in life is to gain promotion to Detective Inspector, the path to which appears to open when he is assigned to oversee the investigation into the murder of a Japanese student. These hallucinations become worse as the film gets closer to the end and Bruces mental health begins to fade into a state of insanity. It also becomes clear that his wife had left him for another man some time prior to the films events and is denying him access to his daughter, developments which sparked his desperate bid for promotion, and also led him to start dressing as his wife when off duty in order to keep her close to him. While wandering the streets on such an occasion, he is taken by the gang responsible for the murder which it is revealed that he witnessed at the start of film, but could not report to his colleagues for fear of disclosing his transvestism and problems at home and badly beaten. He manages however to kill the gang leader by throwing him out of a window, and is found by his colleagues. Robertson not merely misses out on the promotion as a result of the events, but is in fact demoted to Constable and is reassigned to uniform. The film closes with Clifford watching a tape of Robertson apologising that was left for him upon his release from jail. Robertson then breaks the fourth wall and addresses the audience saying Same rules apply."
